Id;IdTipoAttributo;IdGruppo;Ordine;Nome;Descrizione;IdStoreProcedure;DataSource;DataMember;DataLen;DataFormat;necessario;RitornaDescrizione;PostBack;Discriminante;Principale;visualizzaValore;defaultValue;IdSPverificaAttributo;Regex;IsEsteso
873;1;1092;1;Responsabilita;Responsabilita gpg;1;;;0;;0;1;0;1;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
876;1;1100;1;codiceUnita;Sede;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
878;1;1112;1;codiceUnita;codiceUnita;518;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
879;1;1113;1;codiceUnita;codiceUnita;518;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
880;1;1107;1;codiceUnita;codiceUnita;518;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
881;1;1109;1;codiceUnita;codiceUnita;518;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
882;1;1110;1;codiceUnita;codiceUnita;518;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
883;1;1115;1;codiceUnita;codiceUnita;518;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
884;1;1117;1;appLogOnAs;Area Applicativa;1;;;0;;0;1;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
885;1;1118;1;appLogOnAs;Area Applicativa;1;profiloUtente;appLogOnAs;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
886;1;1118;2;AmbienteLOA;Utenti simulabili;1;;;0;;0;0;0;1;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
887;3;1118;3;ReferenteLOA;Referente Log On As;-1;profiloUtente;username;0;;0;0;0;0;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
888;5;1118;4;DataScadenza;Data Scadenza;-1;;;0;;0;0;0;0;0;1;;28;"                                                                                                                                                                                                                                                          ";0
889;1;1119;1;codiceUnita;Codice Unità;537;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
890;1;1120;1;codiceUnita;Codice Unità;537;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
891;2;1123;1;CFCentroVol;CF Centro servizi per il volontariato;1;;;0;;0;1;0;1;1;1;;28;"                                                                                                                                                                                                                                                          ";1
892;3;1114;1;CFCentroVol;CF Centro servizi per il volontariato;-1;profiloUtente;CFCentroVol;0;;0;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
893;2;1114;2;UfficioCentroVol;Ufficio centro servizio per il volontariato;566;NULL;NULL;0;;0;0;0;1;0;0;NULL;28;"                                                                                                                                                                                                                                                          ";0
894;1;1125;1;codiceUnita;;537;profiloUtente;codiceUnita;0;;0;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
896;3;1126;1;codiceRegione;codiceRegione;-1;profiloUtente;codiceRegione;0;;1;1;0;1;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
897;3;1126;2;codiceUnita;codiceUnita;-1;profiloUtente;codiceUnita;0;;1;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
898;3;1127;1;codiceRegione;codiceRegione;-1;profiloUtente;codiceRegione;0;;1;1;0;1;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
899;3;1127;2;codiceUnita;codiceUnita;518;profiloUtente;codiceUnita;0;;1;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
900;3;1128;1;codiceRegione;codiceRegione;542;profiloUtente;;0;;1;1;0;1;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
901;3;1128;2;codiceUnita;;-1;profiloUtente;codiceUnita;0;;1;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
903;1;1133;1;ApplicazioneSDM;NULL;1;NULL;NULL;0;;0;1;0;1;1;1;NULL;NULL;"                                                                                                                                                                                                                                                          ";0
904;1;1134;1;ApplicazioneSDM;;1;;;0;;0;1;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
